num_founder mean_children_num variance_children_num umi_len err_rate insertion-deletion-substitution replicate total_umi simulated_mean_children_num simulated_variance_children_num substitution_base indel_base simulated_insertion-deletion-substitution substitution_only_umi indel_umi uniq_umi tool clustering_threshold thread runtime_in_sec dedup_umi_cluster V-measure homogeneity_score completeness_score RPU_cutoff RPU_cutoff_model estimated_molecule
1000 100 200 18 0.005 1-1-40 2 101097 101.097 185 8583 445 1.000-1.005-38.662 8200 445 9067 umi-tools 2 1 1.60 1135 0.9994 1.0000 0.9989 NA NA 1135
1000 100 200 18 0.005 1-1-40 2 101097 101.097 185 8583 445 1.000-1.005-38.662 8200 445 9067 calib 2 14 0.23 1306 0.9985 0.9996 0.9975 NA NA 1306
1000 100 200 18 0.005 1-1-40 2 101097 101.097 185 8583 445 1.000-1.005-38.662 8200 445 9067 humid 2 1 2.62 1186 0.9975 0.9983 0.9968 NA NA 1186
1000 100 200 18 0.005 1-1-40 2 101097 101.097 185 8583 445 1.000-1.005-38.662 8200 445 9067 humid-fixed 2 1 2.67 1199 0.9992 1.0000 0.9984 NA NA 1199
1000 100 200 18 0.005 1-1-40 2 101097 101.097 185 8583 445 1.000-1.005-38.662 8200 445 9067 humid-fixed-max 2 1 2.66 1139 0.9993 0.9998 0.9989 NA NA 1139
1000 100 200 18 0.005 1-1-40 3 101041 101.041 199 8521 410 1.040-1.000-42.393 8141 409 9026 UMI-nea 2 14 0.59 1017 0.9999 1.0000 0.9999 46 negbinom 1000
1000 100 200 18 0.005 1-1-40 3 101041 101.041 199 8521 410 1.040-1.000-42.393 8141 409 9026 umi-tools 2 1 1.59 1114 0.9995 0.9999 0.9990 NA NA 1114
1000 100 200 18 0.005 1-1-40 3 101041 101.041 199 8521 410 1.040-1.000-42.393 8141 409 9026 calib 2 14 0.23 1303 0.9984 0.9994 0.9975 NA NA 1303
1000 100 200 18 0.005 1-1-40 3 101041 101.041 199 8521 410 1.040-1.000-42.393 8141 409 9026 humid 2 1 2.65 1171 0.9978 0.9985 0.9971 NA NA 1171
1000 100 200 18 0.005 1-1-40 3 101041 101.041 199 8521 410 1.040-1.000-42.393 8141 409 9026 humid-fixed 2 1 2.64 1188 0.9992 1.0000 0.9985 NA NA 1188
1000 100 200 18 0.005 1-1-40 3 101041 101.041 199 8521 410 1.040-1.000-42.393 8141 409 9026 humid-fixed-max 2 1 2.69 1123 0.9993 0.9996 0.9990 NA NA 1123
10000 100 200 18 0.005 1-1-40 1 1009036 100.904 200 85746 4293 1.003-1.000-40.012 81988 4279 90682 UMI-nea 2 14 33.93 10102 1.0000 1.0000 0.9999 50 negbinom 9999
10000 100 200 18 0.005 1-1-40 1 1009036 100.904 200 85746 4293 1.003-1.000-40.012 81988 4279 90682 umi-tools 2 1 67.29 11222 0.9995 0.9999 0.9991 NA NA 11222
10000 100 200 18 0.005 1-1-40 1 1009036 100.904 200 85746 4293 1.003-1.000-40.012 81988 4279 90682 calib 2 14 3.04 12639 0.9968 0.9954 0.9982 NA NA 12639
10000 100 200 18 0.005 1-1-40 1 1009036 100.904 200 85746 4293 1.003-1.000-40.012 81988 4279 90682 humid 2 1 34.41 11687 0.9980 0.9983 0.9977 NA NA 11687
10000 100 200 18 0.005 1-1-40 1 1009036 100.904 200 85746 4293 1.003-1.000-40.012 81988 4279 90682 humid-fixed 2 1 34.01 11819 0.9994 1.0000 0.9989 NA NA 11819
10000 100 200 18 0.005 1-1-40 1 1009036 100.904 200 85746 4293 1.003-1.000-40.012 81988 4279 90682 humid-fixed-max 2 1 33.88 11169 0.9993 0.9993 0.9993 NA NA 11169
10000 100 200 18 0.005 1-1-40 2 1011529 101.153 201 85994 4320 1.017-1.000-40.147 82228 4311 90931 UMI-nea 2 14 34.23 10100 1.0000 1.0000 0.9999 50 negbinom 9998
10000 100 200 18 0.005 1-1-40 2 1011529 101.153 201 85994 4320 1.017-1.000-40.147 82228 4311 90931 umi-tools 2 1 67.81 11306 0.9994 0.9998 0.9990 NA NA 11306
10000 100 200 18 0.005 1-1-40 2 1011529 101.153 201 85994 4320 1.017-1.000-40.147 82228 4311 90931 calib 2 14 3.23 12767 0.9972 0.9963 0.9981 NA NA 12767
10000 100 200 18 0.005 1-1-40 2 1011529 101.153 201 85994 4320 1.017-1.000-40.147 82228 4311 90931 humid 2 1 33.79 11682 0.9980 0.9983 0.9977 NA NA 11682
10000 100 200 18 0.005 1-1-40 2 1011529 101.153 201 85994 4320 1.017-1.000-40.147 82228 4311 90931 humid-fixed 2 1 36.43 11852 0.9994 1.0000 0.9989 NA NA 11852
